slug	name	snomed	icd10	system	kind
fibromyalgia	Fibromyalgia	203082005	M79.79	unclassified	disorder
flu	Flu	6142004	J11.1	infectious	disorder
food-allergy	Food allergy	414285001	Z91.0	unclassified	presentation
food-intolerance	Food intolerance	235719002	K90.4	unclassified	presentation
food-poisoning	Food poisoning	75258004	T62.9	unclassified	disorder
foot-drop	Foot drop	6077001	M21.37	unclassified	presentation
frontotemporal-dementia	Dementia (frontotemporal), see Frontotemporal dementia	230270009		mental-health	disorder
frostbite	Frostbite	370977006	T35.7	traumatic-or-injury	disorder
frozen-shoulder	Frozen shoulder	399114005	M75.0	musculoskeletal	disorder
gallbladder-cancer	Gallbladder cancer	363353009		neoplasm	disorder
gallstones	Gallstones	235919008	K80.2	digestive	disorder
gangrene	Gangrene	372070002		unclassified	disorder
gastritis	Gastritis	4556007	K29.7	digestive	disorder
gastroparesis	Gastroparesis	235675006	K31.8	digestive	disorder
gender-dysphoria-and-incongruence	Gender dysphoria and incongruence	93461009	F64.8	mental-health	disorder
genital-warts	Genital warts	266113007	A63.0	infectious	disorder
gestational-diabetes	Diabetes in pregnancy, see Gestational diabetes	11687002	O24.4	endocrine	disorder
giardiasis	Giardia, see Giardiasis	58265007	A07.1	infectious	disorder
gilberts-syndrome	Gilbert's syndrome	27503000	E80.4	unclassified	disorder
glandular-fever	Glandular fever	271558008	B27.9	infectious	disorder
glaucoma	Glaucoma	23986001	H40.9	eye	disorder
glomerulonephritis	Glomerulonephritis	36171008	N05.9	genitourinary	disorder
glue-ear	Glue ear	232255003	H65.9	ear	disorder
goitre	Goitre	3716002	E04.9	endocrine	disorder
gonorrhoea	Gonorrhoea	15628003	A54.9	infectious	disorder
gout	Gout	90560007	M10.99	unclassified	disorder
granuloma-annulare	Granuloma annulare	65508009	L92.0	skin	disorder
granulomatosis-with-polyangiitis	Granulomatosis with polyangiitis (GPA)	195353004	M31.3	cardiovascular	disorder
growing-pains	Growing pains	102482005	R52.9	unclassified	presentation
guillain-barre-syndrome	Guillain-Barré syndrome	40956001	G61.0	neurological	disorder
gum-disease	Gum disease	18718003	K06.9	digestive	disorder
gynaecomastia	Gynaecomastia	4754008		unclassified	disorder
haemochromatosis	Haemochromatosis	399187006	E83.1	unclassified	disorder
haemophilia	Haemophilia	90935002		unclassified	disorder
hamstring-injury	Hamstring injury	135851009	S76.3	traumatic-or-injury	disorder
hand-foot-mouth-disease	Hand, foot and mouth disease	266108008	B08.4	infectious	disorder
head-injury-and-concussion	Concussion, see Head injury and concussion	82271004	S09.9	unclassified	disorder
head-lice-and-nits	Head lice and nits	81000006	B85.0	infectious	disorder
hearing-loss	Deafness, see Hearing loss	15188001	H91.9	ear	disorder
heart-attack	Heart attack	22298006	I21.9	cardiovascular	disorder
heart-block	Heart block	233916004	I45.9	cardiovascular	disorder
heart-failure	Heart failure	84114007	I50.9	cardiovascular	disorder
heart-valve-disease	Heart valve disease	368009		cardiovascular	disorder
heartburn-and-acid-reflux	Acid reflux, see Heartburn and acid reflux	698065002	K21.9	unclassified	presentation
